JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ORIGIN_OR_DESTINATION
2953.0,9401.0,3047.0,5386.0,6923.0,3590.0,4421.0,1311.0,934.0,4103.0,9388.0,603.0, Falkland Islands (Malvinas)
5346.0,4463.0,6075.0,298.0,8084.0,5807.0,3547.0,163.0,1465.0,1350.0,7265.0,3903.0, Kuwait
7978.0,,2712.0,3454.0,2909.0,5226.0,1484.0,8648.0,2368.0,6186.0,5599.0,8678.0, Greenland
5252.0,4169.0,411.0,6833.0,7132.0,7228.0,8851.0,1403.0,7766.0,3442.0,5691.0,2063.0, Micronesia (Federated States of)
7325.0,3021.0,3727.0,4258.0,3453.0,1450.0,113.0,,4295.0,6486.0,3675.0,5264.0, Gambia
,,9995.0,5091.0,3166.0,2222.0,9021.0,8712.0,,3854.0,8215.0,9879.0, Bosnia and Herzegovina
5098.0,6223.0,1662.0,8043.0,6332.0,,8045.0,7661.0,2868.0,4608.0,9231.0,7196.0, Egypt
9671.0,3094.0,8208.0,253.0,8036.0,674.0,6435.0,4180.0,6455.0,218.0,5497.0,8943.0, Bulgaria
5776.0,,3807.0,7981.0,6960.0,9958.0,3298.0,,9041.0,872.0,,4685.0, Netherlands
,5536.0,1942.0,6249.0,3584.0,9671.0,6502.0,4465.0,6589.0,1813.0,7662.0,8573.0, Vanuatu
4339.0,2622.0,942.0,6736.0,4540.0,421.0,2870.0,8688.0,2592.0,1644.0,5991.0,7369.0, Belize
5339.0,7336.0,5900.0,571.0,,401.0,3617.0,7378.0,,6990.0,9774.0,9864.0, Virgin Islands (British)
5918.0,,7150.0,9707.0,4892.0,8603.0,,4763.0,5925.0,,4199.0,999.0, Antigua and Barbuda
2349.0,7107.0,7797.0,7309.0,8848.0,826.0,,6637.0,2688.0,,3817.0,, Switzerland
7022.0,5905.0,8835.0,,7453.0,8334.0,5361.0,7319.0,3400.0,4393.0,839.0,, Montserrat
9702.0,9267.0,5826.0,2976.0,6767.0,4715.0,1616.0,9187.0,9159.0,5324.0,490.0,7186.0, Grenada
,3095.0,5516.0,8357.0,,114.0,5325.0,1600.0,3150.0,8045.0,4167.0,," Taiwan, Province of China"
4155.0,9907.0,,1830.0,5905.0,4811.0,2816.0,8818.0,8407.0,8218.0,4154.0,6011.0, Grenada
711.0,,1621.0,3962.0,546.0,4209.0,9746.0,8200.0,,2200.0,5754.0,1654.0, Northern Mariana Islands
,8141.0,538.0,,9278.0,9723.0,3005.0,,1165.0,8332.0,1166.0,, South Sudan
,1998.0,2436.0,5450.0,,4152.0,,1743.0,4841.0,4883.0,7239.0,5035.0, Burkina Faso
9913.0,8046.0,171.0,7214.0,7515.0,,5686.0,2136.0,6006.0,1963.0,6020.0,8802.0, Virgin Islands (British)
1833.0,9134.0,3595.0,5139.0,323.0,7214.0,4584.0,5603.0,2416.0,3804.0,,3562.0, Guernsey
8022.0,3510.0,9524.0,7905.0,714.0,3659.0,3800.0,6004.0,7207.0,581.0,599.0,9552.0, Eritrea
9804.0,7131.0,496.0,1180.0,2775.0,,8024.0,3232.0,3118.0,8440.0,8765.0,9120.0, United Kingdom of Great Britain and Northern Ireland
5970.0,2235.0,283.0,7146.0,7184.0,6443.0,3619.0,,996.0,7986.0,3430.0,9135.0, Côte d'Ivoire
5838.0,3308.0,6903.0,3322.0,5044.0,,6816.0,7946.0,201.0,1519.0,5308.0,, Zimbabwe
4282.0,8915.0,,3253.0,7623.0,4338.0,,9307.0,4890.0,2881.0,9618.0,, Mali
,4242.0,3205.0,1676.0,4296.0,5861.0,4315.0,8125.0,255.0,5287.0,5557.0,7444.0, Greece
1191.0,5981.0,701.0,773.0,4886.0,7433.0,2740.0,5531.0,,5071.0,7578.0,1153.0, Germany
4891.0,7526.0,5079.0,477.0,2929.0,9888.0,8776.0,3995.0,599.0,9751.0,7146.0,5300.0, Kuwait
4879.0,3451.0,8024.0,4760.0,6546.0,2190.0,2134.0,6555.0,9631.0,7642.0,6665.0,3066.0, Mozambique
8011.0,,6183.0,7230.0,934.0,2512.0,3206.0,2795.0,3937.0,4335.0,8312.0,5567.0, Serbia
1333.0,841.0,830.0,6571.0,1913.0,5380.0,892.0,9840.0,1651.0,6909.0,5112.0,2328.0, Portugal
3816.0,3963.0,2145.0,6786.0,621.0,9487.0,8860.0,680.0,6576.0,2686.0,1517.0,9373.0, Slovenia
5521.0,9152.0,,3390.0,,288.0,2284.0,3650.0,6374.0,8081.0,3426.0,2681.0, San Marino
1984.0,788.0,8221.0,8238.0,5868.0,2289.0,3977.0,9436.0,,673.0,7422.0,6576.0, Canada
8215.0,8804.0,5547.0,4969.0,8400.0,6477.0,3974.0,,5035.0,2879.0,8137.0,, Micronesia (Federated States of)
1436.0,3058.0,6001.0,976.0,822.0,9799.0,9307.0,7614.0,2332.0,7739.0,3605.0,, Fiji
9683.0,6729.0,9913.0,9249.0,1010.0,4267.0,4512.0,5930.0,4557.0,,6480.0,, Malta
5376.0,1489.0,2263.0,9748.0,8999.0,7890.0,9300.0,3321.0,8550.0,7750.0,177.0,7611.0, Jordan
5222.0,,2905.0,4195.0,4968.0,6017.0,5073.0,7361.0,3834.0,560.0,2514.0,5605.0, Faroe Islands
8684.0,7225.0,5950.0,6497.0,3122.0,,3043.0,424.0,4020.0,1590.0,277.0,2128.0, Montenegro
3260.0,29.0,7363.0,6722.0,3668.0,1213.0,9431.0,4720.0,407.0,776.0,,5876.0, Åland Islands
1158.0,9785.0,1497.0,8741.0,1516.0,9674.0,1895.0,1229.0,3548.0,1149.0,8013.0,8381.0, Andorra
,6747.0,1433.0,8735.0,1259.0,,2827.0,9527.0,3188.0,9048.0,379.0,2463.0, Norway
8541.0,,7197.0,9498.0,7712.0,2070.0,6150.0,2960.0,,3203.0,849.0,592.0, Tunisia
5714.0,9357.0,648.0,6357.0,2778.0,,,5196.0,786.0,2472.0,8134.0,6606.0, Bosnia and Herzegovina
2131.0,2897.0,,5694.0,3442.0,,4372.0,,9965.0,,3925.0,5623.0, Georgia
5115.0,8415.0,4963.0,6310.0,2391.0,1950.0,3557.0,4445.0,7824.0,8120.0,,6776.0, Bulgaria
7661.0,5499.0,112.0,6638.0,4751.0,4152.0,1172.0,2646.0,,,,9060.0, Netherlands
4491.0,3528.0,5070.0,5961.0,,9481.0,1389.0,8847.0,2242.0,912.0,653.0,8149.0, Israel
7965.0,9777.0,8741.0,4003.0,8391.0,9673.0,2167.0,4732.0,,5226.0,9244.0,1396.0, Nauru
9162.0,2192.0,4553.0,3734.0,4579.0,4224.0,8347.0,9201.0,6594.0,2769.0,2702.0,, Netherlands
8050.0,2488.0,1979.0,976.0,2108.0,4164.0,1046.0,1673.0,9229.0,5088.0,9120.0,8420.0, Cambodia
8560.0,175.0,3710.0,2103.0,6403.0,,455.0,7348.0,2190.0,7466.0,7027.0,1231.0, Korea (Democratic People's Republic of)
539.0,6022.0,4120.0,3495.0,9263.0,726.0,1083.0,,2984.0,3556.0,2502.0,3507.0, Liechtenstein
,2977.0,9346.0,3964.0,851.0,6486.0,5130.0,,3904.0,1729.0,185.0,1755.0, Botswana
470.0,2888.0,9278.0,7667.0,9873.0,3810.0,9787.0,9551.0,,8977.0,6381.0,4885.0, Portugal
92.0,4397.0,,7541.0,7584.0,,6210.0,8394.0,1957.0,,1740.0,2841.0, South Africa
2222.0,,9522.0,5201.0,8924.0,3094.0,4540.0,8302.0,775.0,778.0,4854.0,2822.0, Cambodia
6811.0,8393.0,1852.0,,9655.0,2469.0,8274.0,4524.0,2651.0,5975.0,5801.0,1659.0, Saudi Arabia
7120.0,173.0,3563.0,2049.0,2214.0,4944.0,1420.0,9272.0,6350.0,1981.0,6311.0,, Mali
6705.0,1856.0,,,164.0,9079.0,,5115.0,9885.0,4350.0,8781.0,6124.0, Zimbabwe
7565.0,549.0,9759.0,3043.0,29.0,6386.0,2398.0,1187.0,,486.0,2922.0,2056.0, Seychelles
5246.0,9701.0,,3736.0,726.0,1906.0,7877.0,9961.0,5937.0,9736.0,3656.0,6683.0, Syrian Arab Republic
