JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ORIGIN_OR_DESTINATION
9349.0,6601.0,7548.0,574.0,4056.0,6130.0,2894.0,8228.0,9954.0,8653.0,,2057.0, Namibia
1587.0,2193.0,9793.0,4445.0,8971.0,9213.0,5709.0,3231.0,8206.0,6812.0,345.0,5942.0, Burundi
1534.0,5354.0,8.0,7335.0,4260.0,3770.0,6607.0,3214.0,86.0,8032.0,2618.0,7299.0, Ireland
,609.0,5742.0,3594.0,,2532.0,7168.0,2875.0,291.0,,5539.0,9262.0, Afghanistan
1257.0,4054.0,2260.0,846.0,9233.0,4409.0,7131.0,9214.0,,4616.0,2903.0,6620.0, Egypt
,4191.0,7648.0,1251.0,2283.0,538.0,8580.0,6294.0,8923.0,6151.0,7751.0,8902.0, Wallis and Futuna
4904.0,3594.0,4039.0,3308.0,8805.0,5655.0,3318.0,9734.0,,3288.0,192.0,9743.0, Germany
958.0,8030.0,5773.0,3917.0,4246.0,,5167.0,8613.0,5937.0,1748.0,4989.0,2657.0, Bosnia and Herzegovina
4199.0,3662.0,5463.0,153.0,8877.0,6912.0,6695.0,7323.0,4914.0,7183.0,9568.0,1575.0, Maldives
7297.0,6601.0,3197.0,6828.0,5381.0,2061.0,3638.0,1140.0,3768.0,3506.0,6822.0,2038.0, Niue
197.0,818.0,7358.0,7109.0,575.0,4548.0,2965.0,4312.0,9748.0,7160.0,9975.0,3815.0, Andorra
6647.0,8166.0,9335.0,2919.0,9393.0,1464.0,2441.0,1282.0,1048.0,5328.0,,2064.0, Ghana
8396.0,9079.0,4295.0,8519.0,1578.0,6187.0,8148.0,5575.0,8883.0,2953.0,9909.0,2773.0, Lao People's Democratic Republic
5716.0,,7958.0,303.0,426.0,8767.0,4161.0,661.0,,8834.0,9272.0,, Estonia
3632.0,4996.0,154.0,961.0,4613.0,,5819.0,5899.0,8232.0,2959.0,7224.0,8332.0, Comoros
3288.0,4798.0,3531.0,67.0,6462.0,6710.0,5603.0,6977.0,2864.0,5724.0,9794.0,3015.0, Saint Kitts and Nevis
5916.0,3855.0,5653.0,2766.0,,6476.0,5954.0,8899.0,3026.0,6543.0,5861.0,, Azerbaijan
3824.0,3439.0,3554.0,1111.0,4861.0,5066.0,8941.0,9170.0,4369.0,1572.0,4455.0,, Marshall Islands
5647.0,7865.0,7421.0,245.0,6650.0,7817.0,2679.0,,5221.0,9731.0,7900.0,1515.0, Guadeloupe
6962.0,,3240.0,6470.0,2230.0,4852.0,,6140.0,4079.0,,2607.0,7744.0, Jersey
,2733.0,8156.0,2863.0,6285.0,,7361.0,6658.0,2673.0,3333.0,8596.0,1081.0, Timor-Leste
,2765.0,2738.0,2894.0,1025.0,4282.0,5038.0,621.0,8730.0,6928.0,6822.0,6537.0, Norway
4607.0,,5931.0,8664.0,4170.0,214.0,629.0,363.0,2208.0,8451.0,9701.0,8518.0, Korea (Democratic People's Republic of)
4398.0,3345.0,,6348.0,6067.0,692.0,5190.0,8465.0,4653.0,2394.0,3968.0,1589.0, Côte d'Ivoire
2492.0,2258.0,825.0,8216.0,8012.0,6126.0,5958.0,822.0,6651.0,516.0,4979.0,, Tunisia
1253.0,9510.0,2786.0,9261.0,3995.0,7858.0,4743.0,2988.0,6193.0,757.0,5128.0,8623.0, Guadeloupe
7025.0,6258.0,7036.0,5454.0,532.0,9204.0,1554.0,8482.0,2519.0,2218.0,8634.0,1519.0, Bouvet Island
325.0,5344.0,9422.0,5335.0,7002.0,277.0,,,9930.0,,3823.0,470.0, Thailand
6563.0,9045.0,8539.0,7904.0,8658.0,,9048.0,6549.0,3100.0,6662.0,2998.0,376.0, Denmark
5818.0,2930.0,5480.0,9858.0,3523.0,6375.0,4164.0,2791.0,3372.0,,,7830.0, Guadeloupe
,9408.0,8814.0,6097.0,210.0,2325.0,5433.0,,1337.0,6736.0,1486.0,, British Indian Ocean Territory
1796.0,2192.0,6979.0,7911.0,5741.0,3083.0,2304.0,2083.0,6082.0,1774.0,8112.0,6773.0," Taiwan, Province of China"
3469.0,6602.0,4262.0,5334.0,9609.0,2941.0,,,2466.0,5199.0,2972.0,4284.0, Virgin Islands (British)
3190.0,4422.0,6969.0,3540.0,8649.0,1555.0,7665.0,5107.0,6966.0,2117.0,757.0,1830.0, Heard Island and McDonald Islands
4992.0,5020.0,2511.0,9695.0,1795.0,3677.0,7170.0,5315.0,6081.0,4147.0,6658.0,4361.0, Botswana
367.0,9855.0,803.0,9441.0,4134.0,,2201.0,7176.0,887.0,,26.0,4881.0, Jordan
3668.0,7458.0,626.0,6306.0,5827.0,1011.0,6353.0,9702.0,4506.0,5180.0,2338.0,3322.0, Guernsey
6623.0,2235.0,,6210.0,4637.0,9787.0,4298.0,8828.0,9444.0,1628.0,2873.0,5785.0, Guinea-Bissau
3163.0,1916.0,5743.0,2949.0,1035.0,4628.0,,6644.0,69.0,,5453.0,3164.0, Saint Lucia
6532.0,9559.0,6829.0,,8553.0,9827.0,2506.0,1883.0,5382.0,6441.0,6158.0,5810.0, Kuwait
7562.0,4255.0,6610.0,3280.0,8290.0,841.0,7350.0,2940.0,4887.0,2131.0,2190.0,5489.0, Faroe Islands
3909.0,466.0,1040.0,,4720.0,,3188.0,,4738.0,9613.0,6396.0,6444.0, Paraguay
6040.0,6630.0,774.0,896.0,6837.0,7158.0,2206.0,2476.0,3177.0,9487.0,4294.0,3522.0, Dominica
7688.0,1777.0,2041.0,6582.0,6658.0,725.0,935.0,8343.0,6421.0,9239.0,7880.0,8826.0, Palau
7257.0,4177.0,2198.0,961.0,5692.0,5187.0,,,,6437.0,9365.0,4295.0, Puerto Rico
1665.0,6926.0,6849.0,3045.0,2666.0,5826.0,6658.0,,6306.0,101.0,373.0,4378.0, Pakistan
9028.0,5412.0,5291.0,5807.0,4190.0,9873.0,742.0,415.0,3529.0,9398.0,,9664.0, Tunisia
