JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ORIGIN_OR_DESTINATION
833.0,,2038.0,5446.0,5981.0,5823.0,8543.0,3202.0,3224.0,4003.0,8781.0,6413.0, Saint Barthélemy
5927.0,9917.0,8624.0,9163.0,2014.0,4262.0,5669.0,3563.0,6333.0,6474.0,5279.0,8548.0, Comoros
3566.0,7570.0,2043.0,,,8647.0,7344.0,7164.0,,8554.0,7729.0,1370.0, Philippines
1353.0,1480.0,325.0,6.0,7513.0,,8997.0,8068.0,6273.0,5250.0,6504.0,6831.0, Antigua and Barbuda
2975.0,1696.0,7752.0,,5565.0,6359.0,,807.0,252.0,713.0,6612.0,6696.0, Bhutan
1491.0,7820.0,1705.0,5500.0,422.0,8226.0,6265.0,8227.0,7289.0,8614.0,4009.0,3116.0, Cyprus
6589.0,9191.0,7663.0,246.0,,9188.0,5725.0,4159.0,4001.0,3147.0,3583.0,7262.0, Czechia
,2308.0,7105.0,1202.0,5555.0,6269.0,3967.0,1189.0,917.0,1850.0,7492.0,1796.0, Turkey
2401.0,3322.0,,771.0,644.0,2322.0,,596.0,,8555.0,1174.0,3872.0, Malta
,8170.0,,,4597.0,1493.0,1440.0,4514.0,2338.0,1907.0,3405.0,8670.0, Serbia
6499.0,9745.0,3880.0,2691.0,2647.0,9869.0,4889.0,4714.0,6899.0,1796.0,4367.0,2241.0, Palau
6624.0,5837.0,727.0,5132.0,6800.0,2623.0,6231.0,8824.0,5579.0,41.0,,6763.0, Estonia
4746.0,7307.0,8481.0,3045.0,4237.0,5137.0,,8630.0,3075.0,3563.0,9413.0,5442.0, South Georgia and the South Sandwich Islands
5740.0,9249.0,3181.0,9951.0,1260.0,7404.0,50.0,2655.0,,,8695.0,, Philippines
1116.0,9314.0,3409.0,423.0,,6768.0,,463.0,600.0,9867.0,,2572.0, Armenia
2581.0,2986.0,2587.0,6632.0,3723.0,9333.0,1078.0,275.0,6182.0,,4256.0,563.0, Tuvalu
4214.0,9467.0,8329.0,293.0,3950.0,2522.0,1025.0,930.0,5351.0,3466.0,,4686.0, Nigeria
3955.0,1651.0,,,8948.0,1838.0,9783.0,4793.0,4439.0,4943.0,5606.0,3205.0, Guinea
,6046.0,1579.0,8126.0,8818.0,4287.0,9978.0,8356.0,2513.0,5075.0,5749.0,3073.0, Congo
9664.0,7166.0,6450.0,653.0,8016.0,3272.0,1924.0,8223.0,3252.0,836.0,9986.0,2564.0, Jordan
3367.0,9533.0,8815.0,294.0,3161.0,1019.0,5987.0,7142.0,,1932.0,3727.0,16.0, Liechtenstein
8981.0,7870.0,2963.0,,8225.0,8427.0,2760.0,1596.0,2495.0,,7453.0,8609.0, Bahrain
1385.0,,843.0,6273.0,7827.0,3156.0,9156.0,3030.0,5594.0,9175.0,346.0,2773.0, Cook Islands
,,1313.0,,6780.0,9883.0,4240.0,8897.0,1869.0,7620.0,2141.0,41.0, Gibraltar
694.0,2357.0,9988.0,3746.0,8996.0,9893.0,8350.0,5947.0,9319.0,2797.0,4710.0,3183.0, Jamaica
4180.0,6280.0,,6368.0,1069.0,1229.0,5362.0,3472.0,6016.0,2913.0,4381.0,," Saint Helena, Ascension and Tristan da Cunha"
8725.0,1029.0,7038.0,822.0,992.0,3042.0,731.0,4223.0,,2578.0,2181.0,890.0, South Sudan
3010.0,4878.0,3681.0,7421.0,946.0,6318.0,6130.0,7583.0,4487.0,,7975.0,5558.0, Saint Vincent and the Grenadines
7847.0,9377.0,1925.0,,981.0,2685.0,4103.0,9710.0,5164.0,7323.0,8733.0,, Madagascar
666.0,9753.0,5844.0,1361.0,6969.0,4252.0,2122.0,2056.0,1885.0,6960.0,9191.0,8885.0, Montenegro
9053.0,,374.0,3917.0,4138.0,4093.0,5011.0,6685.0,7438.0,6332.0,,8037.0, Iraq
4959.0,8072.0,8829.0,2594.0,2364.0,1062.0,5704.0,5412.0,2802.0,5527.0,6568.0,6853.0, Liberia
1393.0,4131.0,2858.0,2096.0,2031.0,8163.0,2743.0,758.0,8470.0,6942.0,6491.0,3293.0, Faroe Islands
5966.0,4343.0,6598.0,4772.0,3047.0,8141.0,2851.0,7866.0,4206.0,7970.0,9075.0,8610.0, Fiji
141.0,6628.0,6151.0,6287.0,7605.0,3684.0,,7228.0,1212.0,9337.0,8482.0,3056.0, South Georgia and the South Sandwich Islands
9408.0,,4366.0,1384.0,8135.0,3703.0,1165.0,6769.0,9075.0,3748.0,9274.0,6245.0, Peru
3949.0,9218.0,7455.0,,625.0,4973.0,1543.0,2498.0,7988.0,,5918.0,7074.0, Guatemala
7310.0,8789.0,1551.0,630.0,6155.0,1497.0,8232.0,2281.0,3766.0,8522.0,2825.0,9990.0, Samoa
3683.0,,9123.0,8175.0,6671.0,8026.0,3670.0,7035.0,6687.0,6660.0,8531.0,7418.0, Zimbabwe
2434.0,2802.0,6416.0,4014.0,7565.0,1866.0,5030.0,,,282.0,6590.0,9606.0, Belgium
9766.0,6697.0,7294.0,1872.0,9634.0,,1044.0,7285.0,1069.0,290.0,,3106.0, Malaysia
9078.0,4207.0,3660.0,2622.0,709.0,6576.0,4193.0,6681.0,7293.0,418.0,,2443.0, Bhutan
,951.0,5347.0,1767.0,180.0,1310.0,7096.0,8478.0,1715.0,4121.0,7080.0,, South Africa
3945.0,4717.0,4003.0,5330.0,5017.0,8709.0,6640.0,6589.0,3319.0,539.0,8636.0,6704.0, Slovakia
6811.0,1365.0,9557.0,1850.0,3701.0,4455.0,1391.0,8308.0,925.0,4875.0,5548.0,5154.0, Virgin Islands (British)
5525.0,2564.0,9509.0,4637.0,4582.0,6732.0,5276.0,9783.0,9760.0,3507.0,6638.0,8585.0, Guinea-Bissau
1309.0,1355.0,8882.0,6935.0,7709.0,3720.0,9774.0,9574.0,3591.0,,5645.0,8190.0, Zambia
547.0,3812.0,2139.0,9714.0,3505.0,4692.0,3970.0,1141.0,,7540.0,,3793.0, Saint Kitts and Nevis
1134.0,2729.0,6550.0,469.0,6682.0,3389.0,8396.0,9574.0,1121.0,3839.0,3084.0,4416.0, Cambodia
7049.0,4725.0,6938.0,3057.0,4434.0,3846.0,1117.0,774.0,1332.0,8877.0,,8137.0, Burkina Faso
4365.0,466.0,2210.0,4545.0,9687.0,3301.0,1412.0,2522.0,8067.0,7265.0,7965.0,9259.0, Viet Nam
1784.0,1018.0,9743.0,3366.0,9962.0,4967.0,8996.0,4848.0,1093.0,886.0,763.0,8304.0, Myanmar
3131.0,1473.0,687.0,1137.0,3664.0,5967.0,8727.0,,2067.0,5703.0,5791.0,5441.0, Brazil
2129.0,9759.0,9756.0,3699.0,823.0,565.0,9830.0,2544.0,1824.0,9805.0,9491.0,1140.0, Cyprus
6603.0,1836.0,2666.0,,7587.0,1741.0,8367.0,4152.0,5434.0,1484.0,,8666.0, United States Minor Outlying Islands
2259.0,885.0,2466.0,337.0,6098.0,8057.0,731.0,934.0,4642.0,6407.0,259.0,3802.0, Zimbabwe
9274.0,,7441.0,6483.0,4822.0,8924.0,8141.0,1027.0,4023.0,4063.0,6687.0,2488.0, Colombia
9768.0,3460.0,2050.0,6740.0,8918.0,1576.0,2534.0,5241.0,4891.0,996.0,1611.0,2094.0, Finland
1632.0,9008.0,4088.0,2020.0,3935.0,,,,2070.0,,1054.0,3234.0, Singapore
4007.0,6248.0,,5895.0,1882.0,7961.0,5307.0,1229.0,525.0,8245.0,892.0,4211.0, Isle of Man
2309.0,7782.0,9944.0,7106.0,7954.0,9486.0,43.0,6210.0,7083.0,6847.0,7987.0,2823.0, Guadeloupe
6807.0,2607.0,8707.0,1658.0,3781.0,1293.0,,4356.0,5869.0,3880.0,8575.0,2223.0, Bangladesh
8718.0,2288.0,8486.0,,2012.0,9399.0,5559.0,6695.0,7364.0,390.0,7822.0,243.0, Sri Lanka
714.0,2881.0,8589.0,4292.0,9950.0,6577.0,1205.0,7695.0,3729.0,7265.0,,6131.0, Denmark
853.0,9422.0,3919.0,4372.0,3916.0,,5846.0,9093.0,5855.0,1169.0,6328.0,1569.0, Singapore
4049.0,7496.0,1162.0,4282.0,9276.0,,782.0,5230.0,7956.0,7525.0,4362.0,8724.0, Montserrat
1051.0,2286.0,9727.0,9975.0,8825.0,,203.0,487.0,5904.0,,3962.0,5062.0, Antarctica
7075.0,9317.0,5464.0,417.0,,8039.0,4432.0,9701.0,,1429.0,2382.0,4733.0, Mongolia
1044.0,9978.0,2077.0,4347.0,9173.0,2774.0,8370.0,5604.0,5756.0,5667.0,4432.0,492.0, Denmark
5416.0,4477.0,8015.0,,7161.0,4461.0,9701.0,,9245.0,,2111.0,4492.0, Poland
1541.0,3275.0,4564.0,4735.0,8883.0,7440.0,7210.0,5139.0,461.0,1926.0,6939.0,4236.0, San Marino
3044.0,9661.0,620.0,6934.0,6346.0,9451.0,6848.0,1867.0,3298.0,5487.0,2120.0,9203.0," Palestine, State of"
7820.0,2970.0,1739.0,3554.0,6741.0,5682.0,4051.0,3040.0,5382.0,7127.0,1640.0,1245.0, Benin
3293.0,8344.0,4096.0,,338.0,8416.0,8050.0,,2284.0,3953.0,2494.0,9446.0, Switzerland
8773.0,,97.0,,8837.0,2077.0,,5395.0,6298.0,3400.0,7828.0,1530.0, Denmark
9417.0,5289.0,8697.0,9571.0,5399.0,7967.0,3323.0,3751.0,9302.0,7525.0,2469.0,4939.0, Côte d'Ivoire
4434.0,5947.0,324.0,9931.0,55.0,373.0,513.0,9852.0,6554.0,9225.0,4340.0,1337.0, Liechtenstein
2340.0,,2117.0,8333.0,727.0,9624.0,1783.0,7757.0,702.0,8366.0,2227.0,6401.0, Nigeria
8951.0,,7860.0,4639.0,9319.0,,9195.0,12.0,3706.0,6531.0,7213.0,4275.0, Liberia
3067.0,7908.0,,4037.0,8948.0,1891.0,3009.0,,8294.0,4967.0,1982.0,3626.0, Madagascar
2161.0,1699.0,1435.0,2948.0,9407.0,1566.0,5528.0,2536.0,9590.0,1738.0,2111.0,7663.0, Switzerland
2827.0,4681.0,636.0,4673.0,8718.0,3825.0,600.0,3505.0,2210.0,1871.0,932.0,5873.0, Korea (Democratic People's Republic of)
6114.0,3530.0,8720.0,1038.0,2431.0,6220.0,9285.0,5172.0,6360.0,3425.0,145.0,5339.0, Turkey
1372.0,,2184.0,9424.0,6317.0,6991.0,9671.0,5562.0,5023.0,4577.0,5706.0,3193.0, Samoa
3580.0,6700.0,2706.0,9026.0,6376.0,2859.0,9065.0,6575.0,988.0,5372.0,1143.0,1818.0, Djibouti
3935.0,2506.0,5662.0,3438.0,7993.0,8784.0,3089.0,3843.0,,7754.0,4697.0,, Eritrea
7767.0,6346.0,4681.0,7414.0,8501.0,6021.0,8839.0,4939.0,8762.0,6723.0,7328.0,556.0, Bahrain
5916.0,600.0,9961.0,5897.0,4049.0,9273.0,208.0,9309.0,3215.0,3345.0,,368.0, Heard Island and McDonald Islands
7192.0,2086.0,4485.0,6382.0,322.0,7995.0,5179.0,5540.0,2439.0,9857.0,7265.0,599.0, Hong Kong
3426.0,3388.0,4359.0,867.0,,7069.0,6428.0,3766.0,583.0,7178.0,8692.0,7348.0, Wallis and Futuna
1738.0,1157.0,,9384.0,,478.0,1933.0,2323.0,7982.0,3233.0,3942.0,1700.0, Azerbaijan
9538.0,3840.0,4185.0,3079.0,7875.0,4716.0,1687.0,1983.0,8763.0,3613.0,6825.0,, Colombia
9088.0,5471.0,6329.0,2502.0,7163.0,,4215.0,7651.0,9167.0,7960.0,5569.0,9656.0," Taiwan, Province of China"
9536.0,8775.0,1711.0,3576.0,2653.0,8874.0,8575.0,5916.0,4030.0,5629.0,3965.0,5111.0, Kazakhstan
6489.0,2101.0,1018.0,473.0,9689.0,9069.0,9803.0,3205.0,5574.0,1240.0,1062.0,6018.0, Falkland Islands (Malvinas)
5885.0,562.0,3909.0,3547.0,7267.0,5608.0,,,1465.0,1350.0,,2121.0, Botswana
3351.0,2935.0,3108.0,714.0,17.0,4225.0,9236.0,1558.0,2416.0,8483.0,5511.0,7223.0, Indonesia
4963.0,72.0,6932.0,3273.0,7783.0,,4016.0,6030.0,5073.0,9196.0,43.0,4178.0, San Marino
1647.0,7364.0,3820.0,3327.0,7893.0,8357.0,7104.0,8228.0,,2072.0,2626.0,1148.0, Albania
8063.0,6442.0,2935.0,911.0,5469.0,,9729.0,2564.0,9956.0,5214.0,4645.0,2138.0, Azerbaijan
5066.0,9227.0,2427.0,7528.0,3340.0,7637.0,5863.0,1721.0,7669.0,36.0,6924.0,9713.0, Tajikistan
,7726.0,,5119.0,8508.0,4886.0,3890.0,9280.0,,6137.0,6702.0,6147.0, Brunei Darussalam
7808.0,4854.0,,,,3953.0,9737.0,8722.0,5400.0,269.0,,4650.0, Curaçao
9015.0,4428.0,9338.0,9207.0,3687.0,234.0,9652.0,9455.0,650.0,5816.0,411.0,1574.0," Korea, Republic of"
2667.0,6543.0,8560.0,48.0,4796.0,7783.0,9558.0,7992.0,4204.0,1749.0,,1792.0, Montenegro
4078.0,3677.0,8242.0,4332.0,5177.0,819.0,5938.0,1799.0,2635.0,2998.0,8362.0,6034.0, Mali
2688.0,5846.0,8567.0,,131.0,4812.0,855.0,400.0,6077.0,9325.0,7529.0,906.0, Malaysia
4481.0,,,,6489.0,7280.0,986.0,4103.0,415.0,7356.0,3069.0,9271.0, Bangladesh
9511.0,296.0,3220.0,2479.0,9963.0,3460.0,4226.0,9409.0,3294.0,8144.0,2341.0,606.0, Greece
3091.0,9812.0,9100.0,9596.0,5416.0,2747.0,9008.0,1283.0,7310.0,,8613.0,7520.0, Indonesia
9164.0,5308.0,6835.0,5673.0,4276.0,,377.0,3711.0,607.0,7558.0,3651.0,11.0, Turkmenistan
2113.0,6800.0,5315.0,8246.0,2166.0,,,5097.0,6294.0,8314.0,1399.0,4959.0, French Guiana
1104.0,3946.0,8135.0,2609.0,,3509.0,9622.0,8012.0,9847.0,6016.0,6156.0,2637.0, Saint Lucia
248.0,1477.0,6580.0,267.0,5615.0,6974.0,3457.0,5408.0,5979.0,9203.0,6186.0,8043.0, Chile
4179.0,6114.0,9728.0,2686.0,5583.0,7030.0,4372.0,2480.0,,1300.0,9977.0,8454.0, Martinique
4907.0,915.0,8188.0,6982.0,,270.0,2571.0,4917.0,6456.0,8020.0,2727.0,8516.0, Mauritius
6073.0,7042.0,6556.0,,9419.0,4287.0,5662.0,3729.0,1389.0,4091.0,5517.0,6051.0, South Africa
8204.0,1059.0,6299.0,,3062.0,7677.0,,4060.0,7172.0,2519.0,6555.0,383.0, Venezuela (Bolivarian Republic of)
6732.0,301.0,4094.0,1159.0,1251.0,9114.0,2850.0,9811.0,7415.0,6705.0,7727.0,2.0, Thailand
9437.0,1538.0,3675.0,298.0,1223.0,,6658.0,4795.0,5611.0,2160.0,4951.0,4040.0, Vanuatu
8755.0,6937.0,6293.0,,9201.0,5324.0,8432.0,1730.0,1146.0,,2611.0,7462.0, Brunei Darussalam
9146.0,4900.0,204.0,4130.0,9730.0,3623.0,745.0,5324.0,5572.0,,2781.0,8601.0, Gambia
