JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ORIGIN_OR_DESTINATION
3961.0,5040.0,9081.0,4475.0,2340.0,2020.0,5516.0,497.0,963.0,4695.0,4905.0,1722.0, Gambia
7836.0,6738.0,7398.0,5245.0,,3339.0,4691.0,8492.0,8161.0,185.0,,3736.0, Denmark
3065.0,5561.0,6080.0,1550.0,2846.0,4244.0,2611.0,8733.0,6762.0,2875.0,5152.0,3696.0, Timor-Leste
4423.0,4399.0,45.0,7436.0,,8036.0,,,6557.0,300.0,,7524.0, India
7294.0,2300.0,8178.0,5228.0,1916.0,1947.0,2228.0,,1048.0,2733.0,2080.0,8083.0, Colombia
3444.0,8869.0,8222.0,,9054.0,7622.0,409.0,9627.0,290.0,,9412.0,2286.0, Tonga
1214.0,8774.0,5444.0,2807.0,971.0,4071.0,2927.0,8988.0,,,,, Holy See
2560.0,9721.0,1304.0,928.0,,6754.0,4952.0,5639.0,7546.0,,3527.0,5587.0, Colombia
9449.0,9303.0,5904.0,6507.0,,9017.0,6386.0,,3678.0,3007.0,9882.0,5916.0, Netherlands
8225.0,916.0,,205.0,8026.0,6228.0,1248.0,8958.0,9623.0,7479.0,154.0,8428.0, Colombia
1711.0,6472.0,,3042.0,1060.0,5059.0,,9200.0,5201.0,5957.0,7497.0,6640.0, Finland
4951.0,1445.0,6824.0,3919.0,2116.0,6479.0,,8587.0,961.0,4924.0,894.0,6834.0, Haiti
224.0,7543.0,3347.0,6304.0,9697.0,346.0,2840.0,8300.0,2581.0,9729.0,6785.0,2451.0, Ghana
5401.0,7840.0,3371.0,3547.0,2377.0,4766.0,,2226.0,439.0,8988.0,1381.0,5669.0, Djibouti
7146.0,6150.0,9026.0,963.0,6111.0,3309.0,2238.0,7427.0,8495.0,3567.0,,, Austria
6390.0,3561.0,9309.0,2504.0,5748.0,508.0,5972.0,4105.0,445.0,8865.0,2844.0,1701.0, Zambia
2267.0,,7245.0,4929.0,9013.0,9158.0,9452.0,5574.0,2424.0,307.0,8129.0,8255.0, Curaçao
2252.0,4278.0,8122.0,5058.0,1243.0,2450.0,2748.0,3213.0,6290.0,,4646.0,, Saudi Arabia
,7302.0,1135.0,5695.0,3201.0,3260.0,6897.0,163.0,,,5638.0,8055.0, China
8360.0,8712.0,7524.0,7936.0,8112.0,9139.0,,1229.0,5583.0,3128.0,3483.0,900.0, Singapore
8778.0,8397.0,7813.0,6937.0,3537.0,4961.0,2427.0,3530.0,3803.0,,5099.0,5993.0, Colombia
7274.0,3391.0,3589.0,2728.0,6763.0,2599.0,,5614.0,7296.0,108.0,5844.0,6362.0, Spain
7432.0,3604.0,1786.0,57.0,3436.0,6456.0,8939.0,626.0,9727.0,394.0,4889.0,1757.0, Mauritius
32.0,6481.0,6026.0,8631.0,,6509.0,,9172.0,5499.0,,1630.0,3146.0, Bolivia (Plurinational State of)
6590.0,1469.0,4766.0,6045.0,4812.0,9981.0,822.0,3181.0,3543.0,,,5237.0, Canada
,9098.0,3375.0,3824.0,6419.0,1827.0,6528.0,8302.0,1685.0,5277.0,4094.0,5615.0, Namibia
,1680.0,9449.0,1352.0,2085.0,4715.0,6606.0,7338.0,7101.0,8662.0,7242.0,6862.0, Uruguay
