JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ORIGIN_OR_DESTINATION
7504.0,2264.0,85.0,1880.0,759.0,6762.0,8679.0,2343.0,6750.0,,8050.0,307.0, Saint Pierre and Miquelon
945.0,2043.0,4906.0,,7006.0,871.0,6987.0,1041.0,8208.0,1320.0,1716.0,," Saint Helena, Ascension and Tristan da Cunha"
3723.0,86.0,,,4033.0,6720.0,4810.0,8979.0,4409.0,5009.0,5475.0,, Gabon
5474.0,2764.0,,3426.0,8366.0,7268.0,7309.0,,8517.0,,6909.0,8339.0, Belize
325.0,3686.0,7953.0,9632.0,5198.0,6280.0,6274.0,3412.0,2589.0,1973.0,,2192.0, Rwanda
2289.0,9648.0,4688.0,7038.0,8031.0,2264.0,259.0,7877.0,2117.0,6737.0,685.0,2118.0, Fiji
3254.0,,4290.0,1104.0,7543.0,1273.0,1503.0,,1317.0,5224.0,5391.0,6281.0," Congo, Democratic Republic of the"
5912.0,8232.0,,2992.0,1451.0,6808.0,9490.0,2127.0,6517.0,7736.0,4249.0,522.0, Saint Pierre and Miquelon
8834.0,500.0,7361.0,2958.0,9.0,8329.0,1443.0,3338.0,5413.0,,4203.0,9444.0, Viet Nam
9157.0,5421.0,7583.0,1997.0,8986.0,4130.0,2468.0,7959.0,8078.0,3101.0,6763.0,8086.0, Uganda
6495.0,4600.0,8116.0,2396.0,78.0,314.0,2105.0,2816.0,1306.0,8081.0,1708.0,, Saint Pierre and Miquelon
4765.0,6999.0,6176.0,2280.0,3230.0,4652.0,,7268.0,8966.0,4570.0,3738.0,993.0, Kiribati
8225.0,9966.0,9802.0,,2051.0,1603.0,9736.0,,7481.0,,2616.0,1832.0, Dominican Republic
2472.0,884.0,4675.0,9850.0,3050.0,4864.0,9459.0,1052.0,4722.0,1536.0,1648.0,4969.0, Rwanda
9640.0,553.0,8989.0,1546.0,5009.0,,5062.0,,5.0,7639.0,7450.0,3548.0, Bahrain
3690.0,2763.0,,1952.0,6974.0,6042.0,982.0,8643.0,8215.0,8208.0,9340.0,, Anguilla
6548.0,9365.0,4389.0,6873.0,1374.0,2435.0,7255.0,6636.0,2755.0,7169.0,9661.0,4828.0, North Macedonia
9141.0,208.0,3323.0,5234.0,326.0,707.0,2415.0,,5989.0,,2908.0,8699.0, Georgia
1903.0,7584.0,7624.0,4775.0,4972.0,4648.0,4094.0,5555.0,2673.0,3195.0,1316.0,, Martinique
2183.0,7359.0,5757.0,2256.0,8719.0,599.0,9553.0,5184.0,7591.0,1952.0,2933.0,4052.0, Cook Islands
1591.0,633.0,8297.0,6034.0,,962.0,9150.0,5496.0,9902.0,950.0,844.0,518.0, Réunion
5926.0,8867.0,6839.0,7135.0,,,,7377.0,5062.0,3816.0,6250.0,4295.0, Albania
9722.0,6740.0,6871.0,3495.0,5827.0,,6969.0,5516.0,9176.0,4950.0,7241.0,8770.0, Kuwait
1041.0,9852.0,4282.0,2403.0,6234.0,4479.0,8924.0,8751.0,2749.0,4786.0,7973.0,4661.0, Belize
8647.0,3749.0,5461.0,5777.0,6246.0,1379.0,6835.0,4390.0,39.0,9692.0,5877.0,5333.0, China
5100.0,658.0,8281.0,3163.0,2321.0,6636.0,893.0,1957.0,9589.0,8717.0,4929.0,2209.0, Nauru
5088.0,5544.0,1421.0,7240.0,113.0,6643.0,3522.0,2934.0,9139.0,402.0,5680.0,3353.0, Faroe Islands
2636.0,3911.0,8532.0,6786.0,5362.0,1059.0,,3434.0,5069.0,2619.0,6796.0,7623.0, Mozambique
