JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ORIGIN_OR_DESTINATION
9466.0,781.0,9227.0,3286.0,,4976.0,9451.0,7552.0,6070.0,4511.0,7800.0,3920.0, British Indian Ocean Territory
8318.0,4638.0,3502.0,5989.0,9573.0,7371.0,82.0,6791.0,8658.0,3190.0,6296.0,2545.0, Mongolia
2930.0,9679.0,1671.0,3140.0,1024.0,917.0,,,7074.0,1953.0,5733.0,8046.0, Serbia
5868.0,1422.0,4402.0,9296.0,7629.0,2097.0,5125.0,2948.0,4914.0,1430.0,4067.0,1690.0, Macao
3037.0,8009.0,664.0,8074.0,4443.0,2093.0,7083.0,8475.0,7512.0,5766.0,9792.0,7282.0, Afghanistan
934.0,7115.0,,3644.0,7910.0,367.0,,7149.0,,9431.0,109.0,5957.0, Brazil
547.0,4513.0,9564.0,2506.0,2480.0,6348.0,9593.0,147.0,9641.0,3167.0,8088.0,5564.0, Greenland
3847.0,9575.0,9245.0,1632.0,4023.0,7762.0,877.0,9614.0,,9824.0,5507.0,3819.0, Germany
5786.0,1369.0,1742.0,8816.0,7740.0,1293.0,341.0,1821.0,8734.0,4293.0,3999.0,5727.0, Turkey
3637.0,,7597.0,2333.0,1923.0,1643.0,5012.0,217.0,2759.0,8047.0,6814.0,5495.0, Malawi
5916.0,6872.0,5810.0,5612.0,533.0,,4807.0,2340.0,5994.0,7642.0,4403.0,4076.0, Estonia
8381.0,9158.0,,2046.0,9224.0,6491.0,2015.0,3018.0,1946.0,3678.0,6184.0,3847.0, Cameroon
3651.0,3790.0,,3480.0,2495.0,2096.0,8609.0,,9441.0,7512.0,4440.0,7763.0, Panama
6124.0,7715.0,,1839.0,,5456.0,4301.0,7648.0,1975.0,1358.0,9096.0,, Trinidad and Tobago
6281.0,9571.0,9385.0,,5450.0,2351.0,2304.0,1995.0,5621.0,,2007.0,8239.0, Sierra Leone
6770.0,,4587.0,5303.0,9208.0,2581.0,3311.0,,4621.0,1264.0,4638.0,1932.0, Åland Islands
7057.0,4102.0,4324.0,1709.0,62.0,2842.0,9181.0,4967.0,4838.0,,705.0,9443.0, Jamaica
3215.0,3619.0,7907.0,8896.0,3520.0,5041.0,,7084.0,1535.0,9604.0,3699.0,8496.0, Egypt
4471.0,,3841.0,880.0,7277.0,7620.0,9552.0,9138.0,2659.0,8404.0,5113.0,2729.0, Bahrain
5065.0,1635.0,4877.0,6337.0,2571.0,7625.0,1913.0,7973.0,4569.0,2281.0,1086.0,6994.0, Réunion
345.0,6582.0,8708.0,2312.0,6712.0,1674.0,7333.0,4360.0,3176.0,4210.0,2797.0,5973.0, Saint Vincent and the Grenadines
4151.0,4099.0,7608.0,9209.0,8.0,4533.0,7122.0,9261.0,3195.0,8214.0,8966.0,9786.0," Bonaire, Sint Eustatius and Saba"
973.0,9709.0,4187.0,5144.0,7432.0,3587.0,3650.0,6367.0,5024.0,2179.0,278.0,3598.0, Brunei Darussalam
5024.0,5045.0,7184.0,,436.0,8222.0,208.0,1704.0,2175.0,4787.0,9392.0,591.0, Barbados
1055.0,5221.0,1561.0,2264.0,4129.0,1310.0,,,,6509.0,1896.0,, Montserrat
4409.0,7810.0,7079.0,1731.0,8922.0,9636.0,9923.0,4495.0,8450.0,4565.0,8465.0,1378.0, Romania
,4856.0,6074.0,5574.0,3908.0,3595.0,3385.0,3792.0,9721.0,7046.0,1241.0,, Serbia
8971.0,7190.0,8164.0,1002.0,,5134.0,,5455.0,,,1281.0,5506.0, Timor-Leste
3590.0,7782.0,200.0,5054.0,8292.0,1405.0,8292.0,5565.0,3709.0,7374.0,657.0,1451.0, French Southern Territories
2627.0,3116.0,9645.0,,8150.0,7344.0,1849.0,3690.0,7187.0,283.0,2002.0,682.0, Ukraine
4755.0,849.0,6482.0,1672.0,6292.0,,2625.0,,9238.0,1903.0,3474.0,, Suriname
,,,7487.0,9650.0,1722.0,7118.0,4685.0,5426.0,3388.0,1045.0,, Lithuania
1704.0,3869.0,7517.0,4752.0,9014.0,5882.0,5618.0,8297.0,1192.0,6169.0,1404.0,647.0, France
5682.0,1329.0,76.0,4069.0,7544.0,751.0,1014.0,,5887.0,7393.0,4299.0,3152.0, Kuwait
4233.0,5157.0,7380.0,4106.0,8026.0,5487.0,4046.0,2041.0,433.0,8549.0,9046.0,2588.0, Bhutan
6582.0,,6128.0,2600.0,1385.0,7367.0,6590.0,4157.0,9905.0,1602.0,8712.0,1008.0," Tanzania, United Republic of"
1752.0,5804.0,3477.0,4630.0,4663.0,,270.0,8071.0,1596.0,6627.0,,, Puerto Rico
6698.0,,8123.0,4217.0,,,3740.0,5073.0,7884.0,,3340.0,9739.0, Pitcairn
5640.0,5635.0,7085.0,5705.0,3964.0,1926.0,3424.0,2436.0,1003.0,2446.0,3151.0,6974.0, Iraq
,3640.0,2149.0,4922.0,3434.0,4932.0,4810.0,7118.0,6076.0,3806.0,7629.0,4509.0, Canada
2162.0,4794.0,336.0,3960.0,9254.0,6741.0,8279.0,8848.0,8446.0,6045.0,4481.0,8607.0, Solomon Islands
3104.0,3011.0,8879.0,9252.0,4224.0,3491.0,5692.0,4360.0,9158.0,,5593.0,1810.0, Benin
4911.0,,,1086.0,89.0,5872.0,7772.0,6161.0,2981.0,,837.0,1249.0, Northern Mariana Islands
,1593.0,516.0,8031.0,122.0,4884.0,3456.0,3132.0,,3240.0,535.0,6777.0, Cameroon
3515.0,5632.0,4893.0,3476.0,3660.0,6623.0,7004.0,9308.0,4070.0,3292.0,6786.0,6161.0, Russian Federation
145.0,,8353.0,4331.0,8846.0,2308.0,5008.0,1767.0,,6619.0,5468.0,, Russian Federation
6970.0,3168.0,8729.0,9164.0,3193.0,7991.0,5981.0,1564.0,1691.0,2573.0,487.0,4401.0, Suriname
5172.0,3032.0,1975.0,3834.0,1839.0,3633.0,7037.0,5139.0,653.0,3238.0,1854.0,4334.0, Pakistan
2881.0,2424.0,1229.0,4414.0,,3985.0,5000.0,,4647.0,6039.0,,1155.0, Mozambique
7769.0,2287.0,5183.0,979.0,1440.0,7432.0,80.0,1569.0,6434.0,2302.0,2033.0,2833.0, Nicaragua
1256.0,8890.0,8099.0,5431.0,,5468.0,6297.0,6498.0,3984.0,7144.0,3243.0,294.0, Andorra
311.0,9962.0,8667.0,4923.0,9256.0,7825.0,,2410.0,4525.0,6971.0,5731.0,9029.0, New Caledonia
3894.0,4634.0,5958.0,9981.0,8699.0,2960.0,8131.0,943.0,6050.0,1618.0,6873.0,, Tajikistan
8992.0,7286.0,8091.0,8689.0,6414.0,7586.0,5303.0,9169.0,,2769.0,1935.0,2413.0, Burundi
8620.0,5728.0,825.0,,5132.0,4361.0,5908.0,1939.0,2000.0,219.0,705.0,452.0, Réunion
4351.0,307.0,9128.0,8284.0,1233.0,6285.0,1981.0,2550.0,3838.0,,7281.0,3941.0, Mauritius
2508.0,,8979.0,8665.0,,6689.0,2995.0,5924.0,5169.0,8904.0,5914.0,9289.0, Mali
7525.0,,7748.0,1507.0,,820.0,,6261.0,5329.0,9244.0,5935.0,8997.0, Rwanda
,4633.0,2212.0,8233.0,9165.0,9412.0,3874.0,6590.0,6337.0,7933.0,80.0,2132.0, Sint Maarten (Dutch part)
7586.0,5397.0,3453.0,6158.0,2760.0,8993.0,,,8524.0,9731.0,9055.0,, Guatemala
6577.0,858.0,9225.0,3331.0,1265.0,8822.0,,5653.0,7563.0,9439.0,8367.0,912.0, Belarus
722.0,2175.0,,6053.0,3717.0,2647.0,7811.0,8073.0,4446.0,7353.0,5218.0,9865.0, Afghanistan
3348.0,6371.0,2183.0,9264.0,8477.0,3386.0,6485.0,9221.0,574.0,4826.0,1085.0,3100.0, Uganda
1797.0,3524.0,1276.0,4268.0,5048.0,4566.0,229.0,9788.0,7896.0,8819.0,8910.0,5525.0, Dominican Republic
154.0,1272.0,4689.0,8151.0,1322.0,6284.0,6388.0,6475.0,,8502.0,5440.0,6683.0, Saint Vincent and the Grenadines
8428.0,85.0,2431.0,819.0,5515.0,395.0,9278.0,5109.0,7236.0,,3160.0,6022.0, Peru
9357.0,5976.0,688.0,,1394.0,1932.0,152.0,,539.0,2739.0,7730.0,365.0, Libya
6551.0,429.0,,6901.0,7254.0,155.0,3056.0,2465.0,1848.0,,7708.0,4658.0, French Polynesia
2398.0,4353.0,8756.0,4224.0,4323.0,2104.0,7093.0,,1848.0,9604.0,9348.0,2309.0, Guyana
6829.0,1249.0,6147.0,6663.0,,6182.0,5556.0,4661.0,692.0,825.0,3646.0,3872.0, Hungary
1525.0,6658.0,,652.0,6696.0,7680.0,,2376.0,6887.0,4060.0,6641.0,5582.0, Montserrat
6249.0,2997.0,2308.0,7569.0,4254.0,6569.0,3824.0,7900.0,3089.0,1332.0,,8731.0, Mozambique
2940.0,6353.0,3374.0,4264.0,2266.0,9102.0,5654.0,,3154.0,6191.0,2328.0,1497.0, Georgia
2211.0,8123.0,6270.0,9165.0,,8366.0,1694.0,7815.0,6515.0,,8067.0,9668.0, Madagascar
9219.0,42.0,152.0,9600.0,6865.0,9195.0,8391.0,7488.0,8176.0,4082.0,9622.0,1945.0, Sierra Leone
6481.0,2467.0,4836.0,1972.0,4038.0,1698.0,6069.0,5487.0,,5298.0,7276.0,1520.0, Maldives
4589.0,,9326.0,6643.0,1723.0,2392.0,6155.0,,8685.0,173.0,6747.0,4340.0, France
7812.0,2079.0,4814.0,,6639.0,,6479.0,7967.0,9279.0,4500.0,3082.0,5702.0, Antigua and Barbuda
2328.0,1018.0,,5881.0,3894.0,1047.0,9417.0,8963.0,7874.0,6941.0,9236.0,3869.0, Singapore
8988.0,906.0,6216.0,1087.0,9952.0,6420.0,6970.0,,1284.0,3577.0,,1050.0, China
5825.0,,5259.0,3181.0,7349.0,9814.0,,9744.0,2183.0,870.0,7359.0,2099.0, French Guiana
1900.0,8853.0,8115.0,4379.0,8184.0,8388.0,6877.0,219.0,7496.0,4312.0,4534.0,4333.0, Aruba
2200.0,3205.0,,5965.0,3081.0,4229.0,8787.0,9863.0,4593.0,801.0,2075.0,6557.0, San Marino
3286.0,,6673.0,3271.0,4506.0,1128.0,7722.0,4790.0,1173.0,7178.0,9686.0,5193.0, United States of America
4842.0,8828.0,5699.0,93.0,5359.0,8631.0,2219.0,5582.0,2164.0,9993.0,3181.0,9585.0, United States of America
3354.0,6602.0,5992.0,3922.0,8294.0,4828.0,252.0,,4356.0,5406.0,,7678.0, Falkland Islands (Malvinas)
860.0,8375.0,692.0,4428.0,8844.0,6683.0,8094.0,5853.0,4492.0,496.0,7404.0,3690.0, United Kingdom of Great Britain and Northern Ireland
3075.0,948.0,3363.0,7379.0,9593.0,5535.0,9033.0,709.0,7962.0,3866.0,374.0,3510.0, Azerbaijan
3977.0,4828.0,7473.0,2233.0,5744.0,2781.0,9431.0,4580.0,6219.0,3743.0,132.0,3772.0, Aruba
6839.0,4518.0,3394.0,6828.0,567.0,2844.0,7626.0,2993.0,506.0,9448.0,4414.0,8362.0, Saint Martin (French part)
8568.0,6469.0,9268.0,9619.0,3708.0,6690.0,6028.0,5433.0,9371.0,4056.0,3111.0,5454.0, Senegal
9475.0,1355.0,,2071.0,6829.0,6921.0,5602.0,6972.0,,9546.0,8932.0,3437.0, Ethiopia
8157.0,2697.0,5935.0,5043.0,5147.0,5512.0,7553.0,460.0,3466.0,3071.0,3348.0,, Antigua and Barbuda
,9953.0,1582.0,6263.0,8148.0,8661.0,7742.0,4506.0,8975.0,1652.0,5843.0,8759.0, Maldives
6200.0,2116.0,3904.0,5703.0,6877.0,7940.0,8101.0,5858.0,7433.0,4428.0,,, Portugal
4569.0,7827.0,6108.0,9367.0,1606.0,2047.0,3274.0,3340.0,934.0,8829.0,305.0,4762.0, Malaysia
5867.0,902.0,,9029.0,8294.0,3876.0,9985.0,1233.0,6760.0,4344.0,5132.0,1260.0, Gambia
3152.0,6864.0,4819.0,4619.0,6879.0,8852.0,5247.0,665.0,4818.0,57.0,1703.0,3215.0, Lithuania
2816.0,4514.0,9256.0,9561.0,5672.0,9101.0,7018.0,6384.0,4118.0,5100.0,,7749.0, New Caledonia
3361.0,404.0,1491.0,8528.0,7407.0,2486.0,2007.0,140.0,8611.0,7017.0,3531.0,5436.0, Bermuda
6535.0,5657.0,8063.0,9280.0,7879.0,5529.0,6336.0,6160.0,4104.0,6655.0,3896.0,4132.0, Bosnia and Herzegovina
4646.0,52.0,3088.0,2785.0,7107.0,4767.0,1529.0,249.0,,9786.0,6320.0,4810.0, Uruguay
800.0,2664.0,50.0,3155.0,4602.0,4259.0,2433.0,59.0,4498.0,2221.0,9972.0,3815.0, Spain
2922.0,2003.0,4496.0,1851.0,7283.0,4890.0,2613.0,864.0,5688.0,7554.0,9779.0,1166.0, Algeria
9759.0,848.0,3561.0,4359.0,5390.0,3436.0,9703.0,1999.0,1764.0,534.0,9844.0,5246.0, Switzerland
8399.0,9929.0,677.0,3789.0,,5517.0,9413.0,6842.0,3737.0,5620.0,3597.0,148.0, Bulgaria
142.0,,1910.0,7175.0,5014.0,1331.0,7786.0,,8471.0,3790.0,6777.0,, Palau
5028.0,9042.0,4857.0,4122.0,3791.0,,945.0,,9407.0,2007.0,5105.0,7288.0, Myanmar
1861.0,7311.0,,5298.0,785.0,2504.0,4873.0,9783.0,8380.0,9727.0,7938.0,4011.0, Philippines
6892.0,6672.0,5917.0,5378.0,1421.0,2009.0,56.0,808.0,,1266.0,5684.0,8375.0, Eritrea
1087.0,470.0,645.0,3689.0,5423.0,9067.0,7871.0,6282.0,203.0,4477.0,9970.0,4042.0, Bolivia (Plurinational State of)
7380.0,2700.0,7308.0,,9629.0,2248.0,3704.0,,6044.0,561.0,9908.0,2683.0, Tunisia
8607.0,5624.0,1821.0,2457.0,4492.0,7661.0,237.0,5142.0,6295.0,2978.0,3999.0,5647.0, Botswana
2403.0,7646.0,338.0,5127.0,4557.0,243.0,9966.0,2491.0,2474.0,9235.0,8687.0,6053.0, United States Minor Outlying Islands
4305.0,3043.0,2298.0,2123.0,5325.0,8718.0,9295.0,8911.0,5666.0,3745.0,,2950.0, Thailand
,,,5211.0,3967.0,2710.0,4330.0,515.0,2133.0,1522.0,6155.0,1551.0, Virgin Islands (British)
9384.0,3395.0,3807.0,,8321.0,8620.0,4125.0,5341.0,8851.0,1371.0,5083.0,, Lebanon
2035.0,2048.0,9376.0,2185.0,3724.0,,1614.0,,4960.0,7382.0,3980.0,2432.0, Mongolia
3295.0,3033.0,3667.0,9727.0,755.0,6135.0,7692.0,8162.0,309.0,3777.0,505.0,8064.0, Angola
4851.0,9306.0,7149.0,5636.0,7875.0,1286.0,7614.0,9288.0,1290.0,6616.0,8438.0,5238.0, Kenya
7879.0,1159.0,2158.0,7294.0,4865.0,532.0,149.0,184.0,1801.0,8734.0,474.0,8714.0, Guyana
206.0,4724.0,8610.0,,7114.0,2278.0,,2698.0,8561.0,905.0,531.0,, Costa Rica
9478.0,3325.0,2343.0,9623.0,,3446.0,7665.0,108.0,4870.0,,4231.0,769.0, United Kingdom of Great Britain and Northern Ireland
4692.0,,707.0,3899.0,1327.0,132.0,8037.0,2017.0,613.0,9291.0,,9452.0," Moldova, Republic of"
3208.0,2779.0,5875.0,2177.0,5817.0,8871.0,6989.0,,7783.0,9479.0,6902.0,8631.0, Armenia
497.0,,6687.0,,2096.0,831.0,4129.0,5490.0,6849.0,3844.0,1323.0,1037.0, Egypt
5731.0,413.0,3323.0,5062.0,3351.0,6943.0,6693.0,5699.0,798.0,105.0,6301.0,1397.0, Åland Islands
5058.0,9457.0,3368.0,6609.0,944.0,4700.0,,993.0,8276.0,8258.0,256.0,7317.0, Lesotho
6015.0,9858.0,7377.0,2884.0,6182.0,5850.0,8534.0,4556.0,6897.0,6981.0,1837.0,8164.0," Moldova, Republic of"
4851.0,9125.0,5955.0,35.0,1154.0,7515.0,5853.0,6070.0,7971.0,2332.0,5889.0,9929.0, Micronesia (Federated States of)
